,words,count
145,bamboo,1
146,band,4
147,bank,4
148,bar,7
149,bare,11
150,bargain,6
151,barley,1
152,barn,1
153,bart,3
154,barter,1
155,base,14
156,basement,2
157,basic,12
158,basket,2
159,bassett,1
160,bath,18
161,bathroom,10
162,bathroomcan,1
163,battery,9
164,bay,7
165,beach,1
166,bean,1
167,bear,1
168,beat,2
169,beauty,45
170,become,2
171,bed,30
172,bedroom,40
173,bee,1
174,beer,1
175,beg,1
176,begin,3
177,behind,2
178,believe,6
179,bell,1
180,bend,1
181,benefit,2
182,berkeley,7
183,beside,2
184,best,20
185,bet,2
186,betray,1
187,better,20
188,between,1
189,beyond,2
190,bicycle,1
191,bicycling,1
192,bid,2
193,bier,1
194,big,14
195,bigfoot,1
196,bigger,6
197,bike,223
198,bill,11
199,binocular,2
200,birthday,4
201,bit,1
202,bite,202
203,bitnumb,1
204,black,10
205,blade,1
206,blame,1
207,blister,1
208,block,5
209,blow,3
210,blue,7
211,bluish,2
212,blur,1
213,board,3
214,boat,3
215,body,1
216,bomb,1
217,bone,4
218,book,6
219,bookcase,1
220,bookshelf,1
221,boombox,1
222,borrow,3
223,boss,3
224,both,1
225,bottle,1
226,bottom,5
227,bounty,1
228,bout,3
229,bow,5
230,box,28
231,boy,3
232,boyfriend,5
233,br,2
234,bracket,1
235,brain,1
236,brake,13
237,brand,81
238,brass,4
239,break,15
240,breakers,2
241,breakfast,1
242,breath,1
243,breed,1
244,brick,1
245,brief,1
246,briefs,1
247,bright,1
248,bring,49
249,brittle,1
250,brother,3
251,brown,1
252,brush,1
253,bu,1
254,buck,32
255,budget,176
256,buds,3
257,buff,1
258,buffethutch,1
259,buffets,1
260,build,14
261,bulb,3
262,bulk,2
263,bump,3
264,bunch,2
265,bungalow,1
266,burden,1
267,burn,1
268,busy,7
269,but,2
270,buy,163
271,buyer,7
272,buzz,1
273,by,2
274,bye,1
275,ca,2
276,cabinet,5
277,cafe,1
278,cal,3
279,california,1
280,call,21
281,came,1
282,camera,2
283,camp,5
284,can,70
285,cancel,1
286,cannonade,1
287,cap,3
288,car,112
289,carbon,2
290,card,15
291,care,21
292,cargo,1
293,carmodel,1
294,carpet,5
295,carrier,8
296,carry,2
297,cart,1
298,case,34
299,cash,344
300,cat,13
301,catch,2
302,cattywomp,1
303,cause,3
304,cavalry,1
305,cell,1
306,center,2
307,central,3
308,century,4
309,certain,1
310,certainly,5
311,certify,1
312,chain,7
313,chair,75
314,challenge,1
315,champ,1
316,chance,20
317,change,6
318,changes,1
319,character,1
320,charge,23
321,charity,1
322,charm,3
323,chase,1
324,chat,2
325,cheap,6
326,cheaper,10
327,check,29
328,cheque,2
329,cherry,6
330,chest,2
331,child,1
332,children,7
333,china,2
334,chink,1
335,chip,1
336,choice,1
337,choose,2
338,christmas,5
339,cinnamon,1
340,circumstancesnumb,1
341,city,3
342,civic,2
343,civil,1
344,clamp,2
345,clarify,1
346,class,2
347,classic,13
348,clean,28
349,cleaner,1
350,clear,1
351,clearcut,1
352,clearly,3
353,client,1
354,clip,2
355,clock,19
356,close,29
357,closer,49
358,closest,1
359,closet,1
360,clot,9
361,cloth,2
362,cloud,1
363,clubhous,1
364,clung,1
365,clutch,2
366,coffee,4
367,coin,2
368,cold,4
369,colleague,1
370,collect,7
371,collector,7
372,college,10
373,color,12
374,colorado,1
375,column,1
376,com,2
377,come,387
378,comet,2
379,cometh,59
380,comfort,17
381,commit,6
382,common,7
383,compact,1
384,company,3
385,compare,5
386,competent,5
387,complement,1
388,complete,9
389,complex,3
390,compliment,1
391,comprise,1
392,compute,1
393,concern,8
394,condition,1
395,conduct,212
396,confined,1
397,confirm,1
398,congratul,1
399,connect,4
400,consider,101
401,console,2
402,constraint,1
403,construct,2
404,contact,2
405,contest,1
406,contour,1
407,contract,4
408,contradict,1
409,contrast,1
410,control,1
411,convent,11
412,convient,3
413,cook,2
414,cool,43
415,cord,1
416,corner,2
417,correct,20
418,cost,41
419,costa,1
420,coster,1
421,costly,1
422,couch,12
423,could,405
424,couldn,2
425,count,3
426,counter,1
427,countertop,1
428,counting,1
429,country,1
430,couple,14
431,coupon,1
432,courier,1
433,course,23
434,court,1
435,cover,15
436,coverage,1
437,cowpens,1
438,crack,11
439,craftsmanship,1
440,craigslist,3
441,crash,4
442,crawled,2
443,crazy,1
444,credit,22
445,crib,1
446,crime,3
447,crisp,1
448,cross,1
449,crucial,1
450,cruise,1
451,cruisers,1
452,cruz,1
453,crystal,1
454,cub,4
455,cubic,1
456,cumberland,1
457,cure,3
458,curious,2
459,current,26
460,curtain,1
461,cushion,6
462,custody,1
463,custom,9
464,custommad,1
465,cut,16
466,cycle,1
467,d,4
468,dad,1
469,damage,10
470,damn,1
471,danger,2
472,danish,1
473,dark,4
474,data,3
475,dataplu,1
476,date,3
477,daughter,13
478,daughterinlaw,1
479,day,20
480,deal,121
481,debt,1
482,decent,9
483,decide,5
484,deck,1
485,declare,1
486,decrees,1
487,deduce,1
488,deep,3
489,def,2
490,defect,1
491,definite,31
492,degree,1
493,deliver,17
494,dem,1
495,demand,1
496,den,1
497,depart,2
498,depend,9
499,deposit,45
500,describe,1
501,design,4
502,desire,1
503,desk,4
504,despite,1
505,destroy,1
506,detail,3
507,develop,1
508,devil,62
509,dial,2
510,diamondback,1
511,dictionary,2
512,didn,18
513,diego,1
514,differ,11
515,difficult,2
516,dig,1
517,digit,1
518,diishwash,1
519,dimmed,5
520,din,1
521,dine,8
522,dinner,4
523,direct,1
524,directly,3
525,dirt,2
526,disappoint,2
527,disassembl,3
528,disc,1
529,disclaim,1
530,disclose,1
531,disco,1
532,discount,21
533,discover,1
534,dishwash,2
535,display,1
536,dissasembl,1
537,dissect,1
538,distal,3
539,distance,2
540,district,2
541,divorce,2
542,do,16
543,document,1
544,doe,2
545,doesn,21
546,dog,10
547,dollar,85
548,dollarydoo,1
549,domo,1
550,don,3
551,dont,93
552,door,14
553,doubt,6
554,downtown,7
555,drawer,6
556,dress,1
557,dresser,10
558,drill,1
559,drive,27
560,driveway,1
561,drone,1
562,drop,59
563,due,19
564,dulled,1
565,dust,1
566,dutch,5
567,duty,3
568,dwarf,1
569,dwyer,7
570,e,2
571,eager,1
572,ear,1
573,earlier,2
574,earliest,1
575,earn,1
576,earned,2
577,easier,2
578,east,4
579,eat,2
580,ebb,3
581,edge,1
582,edit,2
583,effect,3
584,effort,1
585,eh,2
586,either,4
587,el,1
588,elbow,1
589,elect,8
590,electron,1
591,elementary,1
592,elm,1
593,elmwood,1
594,else,7
595,elsewhere,1
596,em,2
597,email,1
598,employ,1
599,empty,1
600,enclose,1
601,end,12
602,energy,2
603,engage,1
604,engine,5
605,english,1
606,engraved,1
607,enjoy,5
608,enough,16
609,enter,5
610,entertain,2
611,equal,4
612,equip,6
613,escaped,1
614,estate,1
615,etc,5
616,ethernet,1
617,even,70
618,event,1
619,eventhough,1
620,ever,6
621,every,52
622,everyone,2
623,exact,2
624,exactly,14
625,excellent,3
626,except,4
627,exchange,5
628,excuse,1
629,exercise,1
630,exit,2
631,expand,4
632,expect,10
633,expel,73
634,expense,16
635,expert,1
636,expire,1
637,extend,5
638,extent,3
639,exterior,1
640,extra,25
641,extraordinary,1
642,extreme,8
643,eye,9
644,fabric,6
645,face,1
646,facebook,1
647,fact,10
648,factor,3
649,faculty,1
650,fade,1
651,fail,3
652,fair,55
653,fairfield,1
654,fairly,4
655,faith,1
656,fall,3
657,family,9
658,fan,5
659,fancy,2
660,fantasy,13
661,far,17
662,farm,1
663,farther,1
664,fast,8
665,fasten,1
666,faster,1
667,favorite,1
668,feasible,1
669,feature,12
670,fee,16
671,feel,29
672,feet,12
673,fell,1
674,felt,2
675,fence,1
676,ferri,1
677,fetch,2
678,fewer,1
679,fiberglass,1
680,fibro,1
681,fifteen,2
682,figure,5
683,fill,1
684,final,4
685,finance,4
686,find,41
687,fine,19
688,finest,1
689,finger,5
690,fingertips,1
691,finish,10
692,finite,1
693,fir,1
694,fire,2
695,fireplace,2
696,fireside,1
697,firestick,1
698,firm,21
699,first,31
700,fish,2
701,fit,23
702,fitbit,3
703,five,3
704,fix,16
705,fixed,2
706,fixturespaint,1
707,flag,1
708,flash,10
709,flat,4
710,flaw,3
711,flawlessli,1
712,flex,1
713,flexible,14
714,flies,1
715,flight,1
716,flood,2
717,floor,15
718,floorplan,1
719,flora,1
720,flower,1
721,flywheel,1
722,foam,5
723,foe,1
724,foi,2
725,fold,3
726,follow,1
727,fond,1
728,food,1
729,foot,5
730,footboard,2
731,footstep,1
732,for,3
733,ford,2
734,forget,2
735,fork,2
736,form,3
737,formal,1
738,format,1
739,former,1
740,fortune,1
741,forum,1
742,foster,1
743,four,2
744,fraction,2
745,frame,19
746,francisco,3
747,frank,1
748,franklin,1
749,freak,1
750,free,29
751,freely,2
752,fremont,1
753,french,1
754,fresh,3
755,friday,2
756,fridge,1
757,friend,15
758,friendly,1
759,frill,1
760,front,14
761,frustrate,1
762,ft,4
763,fuel,1
764,full,31
765,fullsiz,1
766,fulton,4
767,fun,4
768,function,10
769,fund,3
770,funds,1
771,funny,2
772,furnish,10
773,furniture,17
774,furtinur,1
775,fusion,1
776,ga,17
777,gain,3
778,galaxy,2
779,galaxynumb,1
780,gallon,1
781,game,6
782,gap,1
783,garage,10
784,garden,3
785,gate,2
786,gear,2
787,gen,1
788,genet,3
789,gentle,3
790,genuine,2
791,german,1
792,get,356
793,giant,1
794,gift,15
795,giftcard,1
796,girl,3
797,girlfriend,1
798,give,256
799,glad,6
800,gladly,3
801,glass,2
802,go,418
803,goal,1
804,god,2
805,gold,7
806,golf,3
807,golfer,1
808,good,302
809,goodcould,1
810,goodwill,1
811,gorgeous,5
812,gourmet,1
813,gout,1
814,grab,2
815,grade,1
816,gradual,2
817,grand,1
818,granddaughter,1
819,grandeur,1
820,grandmother,3
821,grandson,1
822,grant,5
823,great,545
824,greater,1
825,greatest,1
826,grind,2
827,grm,1
828,grocer,2
829,ground,1
830,grow,2
831,guarantee,4
832,guard,1
833,guess,19
834,guest,4
835,guitar,1
836,gum,2
837,guy,8
838,ha,3
839,had,8
840,hadn,1
841,hair,2
842,haircut,2
843,half,17
844,halfway,1
845,hand,91
846,handbrak,2
847,handlebar,1
848,handyman,1
849,happen,4
850,happy,14
851,hard,11
852,harder,1
853,hardihood,5
854,hardly,5
855,hardware,5
856,harmony,1
857,has,9
858,hasn,2
859,hat,1
860,hata,4
861,hate,5
862,have,2
863,haven,5
864,hawaii,2
865,hawk,1
866,he,7
867,head,3
868,headache,1
869,headphon,6
870,hear,27
871,hearts,2
872,heat,7
873,heavily,1
874,heavy,8
875,height,5
876,hello,146
877,helmet,2
878,help,41
879,here,1
880,hero,1
881,hexagon,1
882,hey,30
883,hi,191
884,hide,1
885,high,134
886,higher,38
887,highest,4
888,highland,1
889,highly,1
890,highway,6
891,hill,1
892,him,27
893,history,4
894,hit,3
895,hm,4
896,hmmmjust,1
897,hold,8
898,holder,1
899,hole,1
900,home,51
901,homeless,1
902,homeward,1
903,honest,7
904,honestly,6
905,honey,1
906,honor,1
907,hood,1
908,hook,6
909,hope,115
910,horizon,1
911,horrid,1
912,hospital,1
913,host,1
914,hot,2
915,hour,27
916,house,50
917,household,2
918,how,11
919,howe,45
920,huge,5
921,human,1
922,hunter,1
923,hurry,1
924,hurt,2
925,husband,7
926,hut,2
927,hypoallergen,1
928,ice,1
929,id,191
930,idea,8
931,ideal,15
932,ideas,1
933,if,1
934,ignore,2
935,ii,2
936,il,1
937,ill,176
938,image,2
939,imagine,1
940,immacul,3
941,immediately,1
942,imperfect,1
943,import,4
944,improve,1
945,in,742
946,inch,11
947,include,95
948,income,3
949,increase,2
950,incur,1
951,index,9
952,individu,1
953,indoor,2
954,industry,1
955,inexpens,1
956,infant,1
957,inferior,1
958,inform,6
959,injection,1
960,inner,1
961,input,1
962,inquiry,1
963,inside,5
964,inspect,3
965,instal,6
966,instead,11
967,insult,1
968,insure,2
969,intact,2
970,intake,2
971,intent,1
972,inter,2
973,interest,323
974,interestednumb,1
975,interior,5
976,internet,7
977,into,3
978,intrigue,1
979,inured,4
980,invest,3
981,invite,1
982,involve,1
983,iphonenumb,1
984,irrelev,1
985,isa,1
986,island,1
987,isn,18
988,issue,11
989,it,3
990,italian,2
991,italy,1
992,item,59
993,jailbroken,2
994,january,2
995,japan,2
996,jersey,1
997,jet,1
998,jewel,1
999,job,14
1000,jocelyn,1
1001,join,2
1002,jose,2
1003,jump,2
1004,june,3
1005,justice,1
1006,justify,5
1007,keep,24
1008,key,1
1009,keyboard,2
1010,keychain,1
1011,kid,19
1012,kill,1
1013,kind,30
1014,kindergarten,1
1015,king,5
1016,kit,3
1017,kitchen,14
1018,kitten,1
1019,knock,17
1020,know,87
1021,knowledge,1
1022,kodiak,1
1023,labor,3
1024,lack,1
1025,lamp,15
1026,landlord,1
1027,landscape,4
1028,language,1
1029,large,12
1030,larger,6
1031,last,16
1032,latch,1
1033,late,2
1034,later,9
1035,latin,1
1036,laundri,11
1037,lawn,3
1038,lawton,2
1039,layer,1
1040,layout,1
1041,le,1
1042,lead,1
1043,leader,1
1044,leadership,1
1045,league,1
1046,leak,1
1047,learn,1
1048,least,13
1049,leather,8
1050,leatherett,1
1051,leave,14
1052,led,1
1053,left,3
1054,leg,2
1055,lemonade,1
1056,less,109
1057,lesson,1
1058,let,89
1059,level,2
1060,lever,1
1061,lie,2
1062,life,6
1063,lifeproof,1
1064,lift,5
1065,light,19
1066,lightly,7
1067,liiiitl,1
1068,like,562
1069,limit,11
1070,line,5
1071,lingo,1
1072,link,1
1073,list,167
1074,listen,2
1075,lit,1
1076,little,251
1077,live,22
1078,ll,6
1079,load,10
1080,loan,2
1081,local,44
1082,lock,10
1083,locked,1
1084,long,26
1085,longer,11
1086,look,367
1087,lord,1
1088,lose,8
1089,loss,2
1090,losses,1
1091,lot,57
1092,loud,2
1093,love,83
1094,lover,1
1095,loveseat,3
1096,low,79
1097,lower,140
1098,lowest,25
1099,lowonli,1
1100,luck,6
1101,lunch,1
1102,luxury,5
1103,macdonald,2
1104,machine,3
1105,made,3
1106,magazine,1
1107,mahogany,1
1108,maid,1
1109,main,1
1110,maintain,17
1111,maintenc,1
1112,major,5
1113,make,123
1114,maker,1
1115,malbrook,1
1116,male,1
1117,mall,1
1118,man,33
1119,manage,5
1120,manifold,1
1121,manual,6
1122,manufacture,3
1123,marat,1
1124,marble,3
1125,marco,1
1126,mark,9
1127,market,9
1128,massage,1
1129,master,2
1130,mat,1
1131,match,5
1132,mate,1
1133,mater,1
1134,matt,2
1135,mattress,20
1136,max,5
1137,maximum,2
1138,may,93
1139,me,2
1140,meal,1
1141,mean,28
1142,meantime,1
1143,med,1
1144,media,5
1145,medico,1
1146,medium,1
1147,meet,32
1148,mein,1
1149,member,1
1150,memory,6
1151,men,1
1152,mention,6
1153,merritt,1
1154,mess,2
1155,message,1
1156,metal,3
1157,metropc,1
1158,michigan,1
1159,micro,1
1160,microwav,3
1161,mid,4
1162,midcenturi,2
1163,middle,4
1164,midges,1
1165,midian,1
1166,midnight,1
1167,midst,1
1168,might,27
1169,mile,70
1170,mileage,21
1171,miles,1
1172,million,1
1173,min,1
1174,mind,12
1175,mine,8
1176,minor,5
1177,mint,6
1178,minute,10
1179,mirror,3
1180,misbehav,1
1181,mislead,1
1182,miss,13
1183,missed,1
1184,mission,1
1185,mistake,1
1186,mmm,5
1187,mobelfabrik,1
1188,mobile,4
1189,mode,1
1190,model,22
1191,modelonli,1
1192,modern,7
1193,modify,2
1194,mold,1
1195,moment,16
1196,mon,1
1197,monday,1
1198,money,42
1199,monitor,2
1200,month,193
1201,monthbought,1
1202,monthly,10
1203,months,1
1204,mood,1
1205,more,6
1206,mostly,3
1207,mother,1
1208,motion,1
1209,motive,2
1210,motor,6
1211,motorcycl,1
1212,mount,3
1213,mountain,3
1214,move,69
1215,much,139
1216,muddy,1
1217,mug,1
1218,multifunct,1
1219,multiple,3
1220,music,4
1221,must,8
1222,my,1
1223,na,5
1224,name,3
1225,nasty,1
1226,navy,1
1227,near,11
1228,nearby,3
1229,nearly,3
1230,neat,1
1231,necessary,2
1232,neck,1
1233,need,173
1234,needle,2
1235,negation,1
1236,negogi,1
1237,negoiti,1
1238,negoti,121
1239,negotiate,3
1240,neighbor,1
1241,neighborhood,16
1242,neighbourhood,1
1243,neither,1
1244,nephew,1
1245,nervous,2
1246,network,6
1247,neuro,1
1248,neutral,1
1249,never,34
1250,new,264
1251,newer,8
1252,newest,1
1253,newly,6
1254,news,5
1255,newton,1
1256,next,18
1257,nice,123
1258,nicer,1
1259,nicest,1
1260,nickel,1
1261,night,8
1262,nightstand,4
1263,nikita,1
1264,nine,1
1265,no,2
1266,nobody,1
1267,noise,4
1268,nonprofit,1
1269,nonrefund,1
1270,nonsmok,2
1271,noon,1
1272,normal,5
1273,nostalgia,1
1274,not,22
1275,notch,3
1276,note,1
1277,nothing,1
1278,notice,17
1279,novelty,1
1280,now,19
1281,number,4862
1282,numberaugust,1
1283,numberbut,3
1284,numbering,1
1285,numbermhz,1
1286,numbermonth,14
1287,numbermth,1
1288,numbers,2
1289,numberxnumb,2
1290,numberxxx,1
1291,numberyear,3
1292,nurse,1
1293,oak,4
1294,obvious,3
1295,occur,1
1296,odd,1
1297,odyssey,2
1298,of,3
1299,offend,1
1300,offense,1
1301,offer,425
1302,offernumb,1
1303,office,6
1304,offset,1
1305,often,1
1306,oh,71
1307,oil,2
1308,ok,168
1309,oka,2
1310,okay,149
1311,old,91
1312,older,24
1313,oldest,1
1314,oldschool,1
1315,omaha,1
1316,on,2
1317,one,136
1318,onebedroom,2
1319,oneyear,1
1320,online,8
1321,onset,1
1322,onyoko,1
1323,oo,2
1324,open,27
1325,opportune,1
1326,option,9
1327,or,2
1328,order,5
1329,org,1
1330,organ,1
1331,origin,46
1332,os,1
1333,oscilloscop,1
1334,other,8
1335,otherwise,5
1336,ottoman,3
1337,outdoor,1
1338,outer,3
1339,outgrowth,2
1340,outset,1
1341,outside,3
1342,oven,1
1343,over,4
1344,overall,2
1345,own,3
1346,owner,11
1347,oz,1
1348,pack,3
1349,package,4
1350,pad,8
1351,pain,1
1352,painless,2
1353,paint,23
1354,paintjob,1
1355,pair,13
1356,palmar,4
1357,paper,1
1358,paperwork,2
1359,parallel,1
1360,paramore,1
1361,parent,1
1362,park,18
1363,part,40
1364,partial,3
1365,particular,2
1366,partner,1
1367,pass,10
1368,passing,1
1369,past,5
1370,patient,1
1371,paul,1
1372,pay,384
1373,paycheck,1
1374,payment,6
1375,paynumb,1
1376,peace,1
1377,pedal,2
1378,pedomet,1
1379,peg,1
1380,penn,3
1381,people,6
1382,per,40
1383,percent,1
1384,perfect,84
1385,perfectly,1
1386,perform,3
1387,perhaps,11
1388,peri,2
1389,period,1
1390,periphery,1
1391,permits,1
1392,person,9
1393,persuade,1
1394,pervious,1
1395,pet,34
1396,pg,2
1397,phenomena,1
1398,phone,111
1399,photo,9
1400,physics,2
1401,pick,448
1402,picked,13
1403,picture,24
1404,piece,25
1405,pierre,1
1406,pillow,3
1407,pine,4
1408,pink,1
1409,pitch,1
1410,place,94
1411,plain,1
1412,plan,9
1413,plane,1
1414,plant,1
1415,planter,2
1416,plasma,1
1417,plastic,2
1418,platino,1
1419,play,6
1420,player,6
1421,pleas,20
1422,pleasantly,1
1423,plenty,2
1424,plug,5
1425,plus,19
1426,pocket,3
1427,point,8
1428,policy,4
1429,polish,1
1430,polk,1
1431,pool,9
1432,poor,5
1433,poorly,1
1434,pop,2
1435,popular,1
1436,port,4
1437,possible,47
1438,post,11
1439,pot,1
1440,potent,3
1441,pound,1
1442,power,9
1443,powerbankid,1
1444,pp,1
1445,practice,9
1446,precise,1
1447,predetermined,1
1448,prefer,10
1449,prefinish,1
1450,prepare,10
1451,present,4
1452,presume,1
1453,pretty,75
1454,previous,3
1455,price,718
1456,priceless,1
1457,prices,13
1458,priest,1
1459,prim,1
1460,prime,1
1461,prince,1
1462,prison,2
1463,privacy,2
1464,privat,6
1465,prize,1
1466,pro,1
1467,probably,24
1468,probe,1
1469,problem,28
1470,product,11
1471,profession,3
1472,profit,1
1473,program,1
1474,project,2
1475,promise,1
1476,promo,1
1477,proof,1
1478,property,26
1479,protect,3
1480,protector,3
1481,proud,1
1482,proved,12
1483,public,2
1484,puget,1
1485,pull,1
1486,pump,2
1487,purchase,35
1488,pure,1
1489,push,2
1490,put,28
1491,q,2
1492,qualify,1
1493,quality,14
1494,queen,1
1495,question,21
1496,quick,6
1497,quickly,10
1498,quiet,6
1499,quit,43
1500,r,1
1501,race,1
1502,rack,2
1503,radio,4
1504,radium,1
1505,raleigh,1
1506,ram,1
1507,rare,10
1508,rate,7
1509,rather,5
1510,ratio,4
1511,ray,1
1512,rays,2
1513,re,1
1514,reach,3
1515,read,9
1516,ready,20
1517,real,8
1518,realise,2
1519,realize,4
1520,reallllli,1
1521,really,224
1522,rear,3
1523,reason,31
1524,reassure,1
1525,receive,11
1526,recent,24
1527,recommend,1
1528,reconsider,1
1529,record,6
1530,red,8
1531,reddish,1
1532,redecor,1
1533,reduce,3
1534,reeds,1
1535,refer,3
1536,refill,1
1537,refriger,1
1538,refund,5
1539,refuse,1
1540,regard,2
1541,regardless,1
1542,register,1
1543,regret,1
1544,regularly,2
1545,reject,2
1546,relate,1
1547,relax,2
1548,reliable,8
1549,relic,4
1550,reload,1
1551,remain,6
1552,remained,1
1553,remember,2
1554,remind,1
1555,remote,6
1556,remove,14
1557,removed,8
1558,renew,1
1559,rent,101
1560,rental,12
1561,repair,14
1562,repay,1
1563,replace,24
1564,reply,1
1565,report,2
1566,represent,1
1567,reproduce,1
1568,require,7
1569,rescript,7
1570,research,6
1571,resin,1
1572,resist,5
1573,respect,7
1574,response,1
1575,rest,5
1576,restful,1
1577,restore,6
1578,restrain,1
1579,restrict,2
1580,restroom,1
1581,result,2
1582,retail,13
1583,rete,1
1584,retreat,1
1585,return,4
1586,reupholst,1
1587,review,2
1588,rice,1
1589,rich,3
1590,richmond,1
1591,rid,15
1592,ride,25
1593,ridicule,2
1594,right,149
1595,rim,2
1596,ring,54
1597,rip,2
1598,rise,1
1599,risk,2
1600,ritual,1
1601,rivet,1
1602,road,7
1603,rock,1
1604,rocket,1
1605,roof,3
1606,room,52
1607,roommat,2
1608,rough,1
1609,roughly,1
1610,round,2
1611,rout,1
1612,roy,1
1613,rub,1
1614,rude,1
1615,ruffle,1
1616,rug,4
1617,rule,1
1618,run,30
1619,runaround,1
1620,rural,2
1621,rush,1
1622,rust,3
1623,rustic,1
1624,sac,1
1625,sacred,1
1626,sad,2
1627,saddle,1
1628,sadly,1
1629,safe,4
1630,safety,1
1631,said,2
1632,sale,32
1633,salon,1
1634,samson,4
1635,san,6
1636,sand,1
1637,sang,1
1638,sank,1
1639,santa,1
1640,sap,13
1641,sat,4
1642,satisfactory,2
1643,satisfy,1
1644,saturday,1
1645,savage,4
1646,save,25
1647,saw,43
1648,say,93
1649,scandinavianinspir,1
1650,scanned,1
1651,scar,2
1652,schedule,1
1653,scheme,1
1654,schon,1
1655,school,12
1656,schwann,1
1657,scoop,2
1658,scope,1
1659,scotch,1
1660,scratch,25
1661,screen,14
1662,screw,1
1663,sd,3
1664,seaboard,2
1665,seal,1
1666,search,1
1667,season,1
1668,seat,14
1669,second,7
1670,sect,1
1671,section,1
1672,secure,21
1673,see,236
1674,seek,3
1675,seem,93
1676,seems,3
1677,seescenario,1
1678,self,1
1679,sell,248
1680,seller,4
1681,send,3
1682,senior,1
1683,sens,5
1684,sentence,1
1685,september,1
1686,septic,1
1687,sera,1
1688,serious,4
1689,serve,1
1690,service,18
1691,set,61
1692,setback,1
1693,settle,7
1694,seven,1
1695,sew,1
1696,shade,1
1697,shake,1
1698,shall,1
1699,shame,2
1700,shape,51
1701,share,2
1702,sharp,1
1703,shave,2
1704,she,5
1705,shed,2
1706,sheet,2
1707,shelf,6
1708,shield,2
1709,shimano,2
1710,shine,1
1711,shiny,1
1712,ship,18
1713,shirt,1
1714,shoes,1
1715,shoot,4
1716,shop,8
1717,short,12
1718,shorter,1
1719,shouldn,1
1720,show,7
1721,shrink,1
1722,si,1
1723,sick,2
1724,side,10
1725,sideboard,1
1726,sign,36
1727,significantly,3
1728,silhouette,1
1729,sill,1
1730,silver,1
1731,similar,21
1732,simple,3
1733,since,119
1734,sing,2
1735,single,1
1736,sink,2
1737,sir,6
1738,sister,1
1739,sit,10
1740,site,4
1741,situate,2
1742,six,8
1743,size,20
1744,sketch,1
1745,ski,1
1746,skin,2
1747,sleek,2
1748,sleep,1
1749,sleeper,2
1750,sleigh,2
1751,slight,2
1752,slightly,6
1753,slip,2
1754,slut,1
1755,small,25
1756,smaller,4
1757,smart,3
1758,smartphon,1
1759,smell,1
1760,smith,1
1761,smoke,7
1762,smoker,1
1763,smooth,4
1764,smoothly,1
1765,snap,1
1766,snatch,1
1767,snazzi,1
1768,snub,1
1769,so,1
1770,soak,1
1771,sofa,9
1772,soft,2
1773,solar,1
1774,solder,1
1775,sole,1
1776,solicitor,1
1777,solid,12
1778,solo,1
1779,some,1
1780,somehow,1
1781,someone,8
1782,someplac,1
1783,sometime,4
1784,somewhat,5
1785,somewhere,9
1786,son,18
1787,soon,25
1788,sooner,2
1789,sorry,17
1790,sorryappl,1
1791,sort,2
1792,soul,3
1793,sound,290
1794,south,1
1795,space,10
1796,spacious,3
1797,spanish,1
1798,spare,10
1799,speak,1
1800,speaker,17
1801,special,17
1802,specie,1
1803,spectacular,2
1804,speed,6
1805,spend,62
1806,spider,1
1807,spin,2
1808,split,2
1809,spoil,1
1810,sport,1
