,0,1,2,3,4,5,6,7,8,9,10,11,12
77,intro,init-price,counter-price,counter-price,,,,,,,,,
78,intro,counter-price,counter-price,agree,,,,,,,,,
79,intro,disagree,disagree,counter-price,agree,,,,,,,,
80,intro,init-price,counter-price,inquiry,,,,,,,,,
81,intro,counter-price,agree,,,,,,,,,,
82,intro,inquiry,inquiry,counter-price,,,,,,,,,
83,intro,init-price,,,,,,,,,,,
84,intro,init-price,counter-price,,,,,,,,,,
85,intro,disagree,inquiry,counter-price,inquiry,,,,,,,,
86,intro,init-price,counter-price,counter-price,,,,,,,,,
87,intro,inquiry,counter-price,agree,,,,,,,,,
88,intro,disagree,counter-price,counter-price,,,,,,,,,
89,intro,counter-price,counter-price,agree,,,,,,,,,
90,intro,init-price,counter-price,agree,,,,,,,,,
91,intro,init-price,counter-price,counter-price,,,,,,,,,
92,inquiry,inquiry,inquiry,,,,,,,,,,
93,intro,init-price,counter-price,,,,,,,,,,
94,intro,init-price,counter-price,inquiry,counter-price,,,,,,,,
95,intro,init-price,counter-price,counter-price,agree,,,,,,,,
96,intro,init-price,inquiry,counter-price,counter-price,insist,,,,,,,
97,intro,disagree,counter-price,counter-price,,,,,,,,,
98,intro,init-price,,,,,,,,,,,
99,init-price,counter-price,insist,,,,,,,,,,
100,intro,counter-price,,,,,,,,,,,
101,intro,counter-price,counter-price,counter-price,,,,,,,,,
102,init-price,counter-price,disagree,,,,,,,,,,
103,intro,init-price,counter-price,inquiry,counter-price,,,,,,,,
104,intro,inquiry,init-price,vague-price,vague-price,counter-price,counter-price,agree,,,,,
105,intro,inquiry,inquiry,counter-price,,,,,,,,,
106,intro,vague-price,init-price,insist,agree,,,,,,,,
107,intro,disagree,vague-price,counter-price,insist,counter-price,,,,,,,
108,intro,inquiry,init-price,,,,,,,,,,
109,intro,init-price,counter-price,counter-price,,,,,,,,,
110,intro,init-price,counter-price,counter-price,,,,,,,,,
111,intro,init-price,inquiry,vague-price,counter-price,agree,,,,,,,
112,intro,init-price,counter-price,counter-price,vague-price,,,,,,,,
113,intro,disagree,counter-price,inquiry,counter-price,,,,,,,,
114,intro,init-price,disagree,counter-price,insist,counter-price,insist,,,,,,
115,intro,counter-price,disagree,counter-price,,,,,,,,,
116,intro,init-price,,,,,,,,,,,
117,intro,counter-price,agree,,,,,,,,,,
118,intro,init-price,inquiry,inquiry,,,,,,,,,
119,intro,init-price,counter-price,disagree,agree,,,,,,,,
120,intro,init-price,counter-price,counter-price,agree,,,,,,,,
121,intro,disagree,counter-price,counter-price,,,,,,,,,
122,intro,init-price,inquiry,disagree,counter-price,counter-price,counter-price,,,,,,
123,intro,counter-price,counter-price,,,,,,,,,,
124,intro,counter-price,disagree,,,,,,,,,,
125,intro,counter-price,counter-price,counter-price,,,,,,,,,
126,init-price,counter-price,,,,,,,,,,,
127,intro,init-price,counter-price,disagree,,,,,,,,,
128,intro,init-price,insist,counter-price,,,,,,,,,
129,init-price,counter-price,counter-price,agree,,,,,,,,,
130,intro,inquiry,vague-price,agree,,,,,,,,,
131,intro,counter-price,agree,,,,,,,,,,
132,intro,inquiry,vague-price,,,,,,,,,,
133,intro,init-price,inquiry,counter-price,inquiry,,,,,,,,
134,intro,init-price,counter-price,counter-price,agree,,,,,,,,
135,intro,counter-price,agree,,,,,,,,,,
136,intro,disagree,counter-price,insist,,,,,,,,,
137,intro,counter-price,counter-price,,,,,,,,,,
138,intro,init-price,counter-price,insist,agree,agree,,,,,,,
139,intro,disagree,counter-price,,,,,,,,,,
140,intro,counter-price,agree,,,,,,,,,,
141,intro,inquiry,init-price,counter-price,insist,,,,,,,,
142,intro,init-price,agree,,,,,,,,,,
143,intro,init-price,counter-price,,,,,,,,,,
144,init-price,counter-price,,,,,,,,,,,
145,intro,init-price,agree,,,,,,,,,,
146,intro,counter-price,agree,,,,,,,,,,
147,intro,init-price,counter-price,agree,,,,,,,,,
148,intro,init-price,counter-price,,,,,,,,,,
149,intro,init-price,counter-price,counter-price,inquiry,,,,,,,,
150,intro,init-price,counter-price,,,,,,,,,,
151,intro,agree,agree,counter-price,agree,,,,,,,,
152,intro,counter-price,counter-price,,,,,,,,,,
153,intro,counter-price,counter-price,,,,,,,,,,
154,intro,counter-price,,,,,,,,,,,
155,init-price,counter-price,,,,,,,,,,,
156,intro,counter-price,,,,,,,,,,,
157,intro,counter-price,inquiry,,,,,,,,,,
158,intro,init-price,counter-price,,,,,,,,,,
159,intro,inquiry,counter-price,disagree,counter-price,,,,,,,,
160,intro,init-price,disagree,,,,,,,,,,
161,intro,init-price,inquiry,counter-price,,,,,,,,,
162,intro,counter-price,inquiry,,,,,,,,,,
163,intro,init-price,counter-price,,,,,,,,,,
164,intro,,,,,,,,,,,,
165,intro,init-price,counter-price,,,,,,,,,,
166,intro,init-price,counter-price,,,,,,,,,,
167,intro,disagree,init-price,disagree,counter-price,,,,,,,,
168,intro,inquiry,counter-price,agree,inquiry,,,,,,,,
169,intro,disagree,counter-price,,,,,,,,,,
170,intro,counter-price,counter-price,inquiry,,,,,,,,,
171,intro,inquiry,disagree,counter-price,,,,,,,,,
172,intro,inquiry,counter-price,,,,,,,,,,
173,intro,counter-price,,,,,,,,,,,
174,intro,inquiry,disagree,,,,,,,,,,
175,intro,counter-price,agree,,,,,,,,,,
176,intro,init-price,counter-price,,,,,,,,,,
177,intro,disagree,counter-price,,,,,,,,,,
178,intro,counter-price,counter-price,,,,,,,,,,
179,intro,disagree,disagree,counter-price,,,,,,,,,
180,intro,init-price,counter-price,,,,,,,,,,
181,intro,disagree,disagree,counter-price,,,,,,,,,
182,intro,counter-price,inquiry,,,,,,,,,,
183,intro,init-price,disagree,counter-price,counter-price,,,,,,,,
184,intro,init-price,disagree,counter-price,inquiry,,,,,,,,
185,intro,inquiry,inquiry,counter-price,agree,,,,,,,,
186,intro,inquiry,counter-price,counter-price,,,,,,,,,
187,intro,inquiry,init-price,,,,,,,,,,
188,intro,inquiry,disagree,counter-price,,,,,,,,,
189,intro,counter-price,,,,,,,,,,,
190,intro,agree,,,,,,,,,,,
191,intro,init-price,counter-price,,,,,,,,,,
192,intro,init-price,disagree,counter-price,counter-price,counter-price,insist,,,,,,
193,intro,counter-price,counter-price,counter-price,agree,,,,,,,,
194,intro,counter-price,counter-price,,,,,,,,,,
195,intro,inquiry,counter-price,agree,agree,,,,,,,,
196,init-price,counter-price,counter-price,insist,,,,,,,,,
197,intro,init-price,counter-price,,,,,,,,,,
198,intro,counter-price,,,,,,,,,,,
199,intro,inquiry,agree,agree,,,,,,,,,
200,intro,init-price,,,,,,,,,,,
201,intro,inquiry,counter-price,counter-price,agree,,,,,,,,
202,intro,init-price,counter-price,disagree,counter-price,counter-price,,,,,,,
203,intro,disagree,counter-price,,,,,,,,,,
204,intro,inquiry,disagree,counter-price,agree,,,,,,,,
205,intro,counter-price,,,,,,,,,,,
206,intro,disagree,disagree,counter-price,,,,,,,,,
207,intro,disagree,counter-price,counter-price,,,,,,,,,
208,intro,init-price,vague-price,counter-price,counter-price,agree,,,,,,,
209,init-price,inquiry,inquiry,agree,agree,,,,,,,,
210,intro,inquiry,counter-price,,,,,,,,,,
211,intro,disagree,counter-price,,,,,,,,,,
212,intro,counter-price,counter-price,,,,,,,,,,
213,intro,vague-price,counter-price,agree,,,,,,,,,
214,intro,counter-price,agree,,,,,,,,,,
215,intro,init-price,,,,,,,,,,,
216,intro,disagree,counter-price,,,,,,,,,,
217,intro,counter-price,disagree,,,,,,,,,,
218,intro,inquiry,counter-price,agree,,,,,,,,,
219,intro,disagree,counter-price,,,,,,,,,,
220,intro,counter-price,,,,,,,,,,,
221,intro,counter-price,counter-price,inquiry,,,,,,,,,
222,intro,vague-price,counter-price,,,,,,,,,,
223,intro,init-price,counter-price,counter-price,,,,,,,,,
224,intro,counter-price,insist,agree,,,,,,,,,
225,intro,init-price,counter-price,counter-price,,,,,,,,,
226,intro,init-price,agree,,,,,,,,,,
227,intro,init-price,counter-price,counter-price,,,,,,,,,
228,intro,init-price,counter-price,insist,insist,,,,,,,,
229,intro,init-price,counter-price,,,,,,,,,,
230,intro,disagree,counter-price,,,,,,,,,,
231,intro,counter-price,,,,,,,,,,,
232,intro,counter-price,,,,,,,,,,,
233,intro,counter-price,agree,,,,,,,,,,
234,intro,agree,counter-price,counter-price,,,,,,,,,
235,intro,counter-price,counter-price,,,,,,,,,,
236,intro,counter-price,agree,,,,,,,,,,
237,intro,init-price,counter-price,agree,,,,,,,,,
238,intro,counter-price,,,,,,,,,,,
239,intro,counter-price,agree,,,,,,,,,,
240,init-price,inquiry,,,,,,,,,,,
241,intro,init-price,counter-price,,,,,,,,,,
242,intro,counter-price,,,,,,,,,,,
243,intro,counter-price,,,,,,,,,,,
244,init-price,disagree,counter-price,,,,,,,,,,
245,intro,inquiry,disagree,counter-price,,,,,,,,,
246,intro,init-price,counter-price,,,,,,,,,,
247,intro,counter-price,counter-price,disagree,,,,,,,,,
248,intro,disagree,init-price,disagree,counter-price,,,,,,,,
249,intro,vague-price,,,,,,,,,,,
250,intro,init-price,insist,inquiry,,,,,,,,,
251,intro,init-price,counter-price,counter-price,disagree,,,,,,,,
252,intro,disagree,counter-price,counter-price,counter-price,,,,,,,,
253,intro,counter-price,,,,,,,,,,,
254,intro,disagree,inquiry,counter-price,,,,,,,,,
255,intro,disagree,counter-price,insist,,,,,,,,,
256,intro,disagree,disagree,counter-price,agree,,,,,,,,
257,intro,inquiry,inquiry,,,,,,,,,,
258,intro,disagree,init-price,,,,,,,,,,
259,intro,init-price,counter-price,,,,,,,,,,
260,intro,disagree,counter-price,counter-price,inquiry,disagree,agree,,,,,,
261,intro,agree,counter-price,insist,insist,,,,,,,,
262,init-price,counter-price,counter-price,counter-price,,,,,,,,,
263,intro,inquiry,inquiry,counter-price,,,,,,,,,
264,intro,counter-price,agree,agree,,,,,,,,,
265,intro,disagree,,,,,,,,,,,
266,intro,agree,disagree,inquiry,,,,,,,,,
267,intro,init-price,agree,,,,,,,,,,
268,intro,agree,counter-price,counter-price,,,,,,,,,
269,intro,disagree,counter-price,,,,,,,,,,
270,intro,counter-price,counter-price,insist,,,,,,,,,
271,intro,init-price,disagree,counter-price,disagree,counter-price,,,,,,,
272,intro,disagree,counter-price,,,,,,,,,,
273,intro,,,,,,,,,,,,
274,intro,inquiry,counter-price,counter-price,,,,,,,,,
275,intro,counter-price,insist,,,,,,,,,,
276,intro,inquiry,counter-price,counter-price,,,,,,,,,
277,intro,vague-price,init-price,counter-price,,,,,,,,,
278,intro,counter-price,,,,,,,,,,,
279,intro,init-price,counter-price,agree,agree,,,,,,,,
280,intro,init-price,disagree,,,,,,,,,,
281,intro,,,,,,,,,,,,
282,intro,inquiry,counter-price,counter-price,disagree,,,,,,,,
283,intro,init-price,counter-price,,,,,,,,,,
284,counter-price,counter-price,,,,,,,,,,,
285,intro,counter-price,insist,counter-price,insist,,,,,,,,
286,intro,disagree,disagree,counter-price,inquiry,,,,,,,,
287,intro,inquiry,counter-price,agree,agree,,,,,,,,
288,intro,init-price,counter-price,,,,,,,,,,
289,intro,disagree,agree,,,,,,,,,,
290,intro,counter-price,counter-price,inquiry,inquiry,,,,,,,,
291,intro,inquiry,counter-price,,,,,,,,,,
292,init-price,counter-price,inquiry,,,,,,,,,,
293,intro,disagree,counter-price,agree,,,,,,,,,
294,intro,counter-price,counter-price,counter-price,,,,,,,,,
295,intro,counter-price,counter-price,,,,,,,,,,
296,intro,inquiry,inquiry,disagree,counter-price,inquiry,,,,,,,
297,intro,disagree,disagree,counter-price,,,,,,,,,
298,intro,counter-price,,,,,,,,,,,
299,intro,init-price,counter-price,counter-price,agree,,,,,,,,
300,intro,init-price,counter-price,counter-price,,,,,,,,,
301,intro,counter-price,counter-price,,,,,,,,,,
302,intro,init-price,counter-price,insist,,,,,,,,,
303,intro,counter-price,agree,agree,,,,,,,,,
304,intro,init-price,disagree,counter-price,disagree,counter-price,,,,,,,
305,intro,counter-price,counter-price,,,,,,,,,,
306,intro,inquiry,disagree,disagree,inquiry,agree,,,,,,,
307,intro,disagree,counter-price,,,,,,,,,,
308,intro,counter-price,agree,,,,,,,,,,
309,intro,init-price,counter-price,agree,,,,,,,,,
310,intro,counter-price,counter-price,counter-price,,,,,,,,,
311,intro,disagree,counter-price,inquiry,,,,,,,,,
312,init-price,counter-price,counter-price,agree,,,,,,,,,
313,intro,init-price,counter-price,insist,inquiry,counter-price,insist,counter-price,,,,,
314,init-price,counter-price,counter-price,,,,,,,,,,
315,intro,inquiry,counter-price,counter-price,,,,,,,,,
316,intro,counter-price,agree,,,,,,,,,,
317,intro,counter-price,agree,agree,,,,,,,,,
318,intro,counter-price,disagree,counter-price,,,,,,,,,
319,intro,counter-price,,,,,,,,,,,
320,intro,inquiry,counter-price,counter-price,,,,,,,,,
321,intro,counter-price,agree,,,,,,,,,,
322,intro,init-price,,,,,,,,,,,
323,intro,inquiry,disagree,counter-price,agree,,,,,,,,
324,intro,counter-price,,,,,,,,,,,
325,intro,counter-price,,,,,,,,,,,
326,intro,init-price,vague-price,counter-price,,,,,,,,,
327,intro,disagree,counter-price,insist,counter-price,,,,,,,,
328,intro,counter-price,,,,,,,,,,,
329,intro,init-price,disagree,disagree,counter-price,,,,,,,,
330,intro,init-price,disagree,counter-price,,,,,,,,,
331,intro,init-price,insist,counter-price,,,,,,,,,
332,intro,init-price,counter-price,counter-price,,,,,,,,,
333,intro,disagree,counter-price,,,,,,,,,,
334,intro,counter-price,,,,,,,,,,,
335,intro,init-price,counter-price,,,,,,,,,,
336,intro,inquiry,counter-price,inquiry,inquiry,inquiry,,,,,,,
337,intro,disagree,counter-price,counter-price,,,,,,,,,
338,intro,init-price,counter-price,counter-price,agree,,,,,,,,
339,intro,disagree,counter-price,agree,,,,,,,,,
340,intro,counter-price,counter-price,,,,,,,,,,
341,intro,init-price,counter-price,,,,,,,,,,
342,intro,counter-price,counter-price,,,,,,,,,,
343,intro,inquiry,counter-price,counter-price,,,,,,,,,
344,intro,init-price,,,,,,,,,,,
345,intro,counter-price,disagree,agree,,,,,,,,,
346,intro,counter-price,,,,,,,,,,,
347,intro,init-price,disagree,counter-price,agree,,,,,,,,
348,intro,disagree,,,,,,,,,,,
349,intro,counter-price,counter-price,,,,,,,,,,
350,intro,init-price,counter-price,counter-price,inquiry,,,,,,,,
351,intro,init-price,counter-price,agree,,,,,,,,,
352,intro,counter-price,,,,,,,,,,,
353,intro,disagree,init-price,,,,,,,,,,
354,intro,inquiry,counter-price,counter-price,counter-price,,,,,,,,
355,intro,counter-price,,,,,,,,,,,
356,intro,counter-price,,,,,,,,,,,
357,intro,counter-price,agree,,,,,,,,,,
358,intro,,,,,,,,,,,,
359,intro,init-price,counter-price,,,,,,,,,,
360,intro,counter-price,agree,,,,,,,,,,
361,intro,init-price,disagree,counter-price,counter-price,counter-price,,,,,,,
362,intro,counter-price,counter-price,,,,,,,,,,
363,intro,init-price,counter-price,,,,,,,,,,
364,intro,init-price,counter-price,,,,,,,,,,
365,intro,counter-price,agree,counter-price,,,,,,,,,
366,intro,disagree,counter-price,agree,,,,,,,,,
367,intro,init-price,disagree,counter-price,agree,,,,,,,,
368,intro,disagree,counter-price,counter-price,,,,,,,,,
369,intro,init-price,counter-price,,,,,,,,,,
370,intro,counter-price,,,,,,,,,,,
371,intro,counter-price,agree,,,,,,,,,,
372,intro,init-price,counter-price,,,,,,,,,,
373,intro,counter-price,,,,,,,,,,,
374,intro,init-price,counter-price,,,,,,,,,,
375,intro,init-price,,,,,,,,,,,
376,intro,disagree,counter-price,agree,,,,,,,,,
377,intro,counter-price,agree,,,,,,,,,,
378,intro,counter-price,disagree,counter-price,,,,,,,,,
379,intro,disagree,counter-price,agree,,,,,,,,,
380,intro,init-price,counter-price,inquiry,,,,,,,,,
381,intro,counter-price,counter-price,counter-price,,,,,,,,,
382,intro,inquiry,agree,,,,,,,,,,
383,intro,,,,,,,,,,,,
384,intro,counter-price,agree,,,,,,,,,,
385,intro,disagree,counter-price,inquiry,counter-price,,,,,,,,
386,intro,init-price,counter-price,counter-price,,,,,,,,,
387,intro,init-price,,,,,,,,,,,
388,intro,init-price,counter-price,,,,,,,,,,
389,intro,disagree,agree,counter-price,,,,,,,,,
390,intro,inquiry,disagree,counter-price,,,,,,,,,
391,intro,disagree,counter-price,,,,,,,,,,
392,intro,agree,,,,,,,,,,,
393,intro,disagree,,,,,,,,,,,
394,intro,counter-price,,,,,,,,,,,
395,intro,init-price,counter-price,,,,,,,,,,
396,intro,disagree,counter-price,agree,,,,,,,,,
397,intro,counter-price,inquiry,,,,,,,,,,
398,intro,init-price,agree,,,,,,,,,,
399,intro,counter-price,,,,,,,,,,,
400,intro,init-price,,,,,,,,,,,
401,intro,disagree,disagree,counter-price,counter-price,,,,,,,,
402,intro,disagree,counter-price,,,,,,,,,,
403,intro,disagree,counter-price,counter-price,,,,,,,,,
404,intro,init-price,counter-price,counter-price,agree,,,,,,,,
405,intro,init-price,inquiry,,,,,,,,,,
406,intro,init-price,disagree,counter-price,disagree,insist,,,,,,,
407,intro,disagree,init-price,agree,,,,,,,,,
408,intro,init-price,agree,counter-price,agree,,,,,,,,
409,intro,disagree,init-price,counter-price,,,,,,,,,
410,intro,inquiry,init-price,counter-price,counter-price,,,,,,,,
411,intro,counter-price,counter-price,agree,,,,,,,,,
412,intro,disagree,,,,,,,,,,,
413,intro,counter-price,,,,,,,,,,,
414,intro,inquiry,,,,,,,,,,,
415,intro,disagree,counter-price,,,,,,,,,,
416,intro,counter-price,counter-price,agree,,,,,,,,,
417,intro,inquiry,vague-price,counter-price,counter-price,agree,,,,,,,
418,intro,counter-price,counter-price,,,,,,,,,,
419,intro,vague-price,counter-price,counter-price,,,,,,,,,
420,intro,disagree,init-price,counter-price,,,,,,,,,
421,intro,disagree,disagree,counter-price,,,,,,,,,
422,intro,counter-price,,,,,,,,,,,
423,intro,counter-price,counter-price,,,,,,,,,,
424,intro,agree,inquiry,init-price,counter-price,disagree,counter-price,,,,,,
425,intro,counter-price,counter-price,,,,,,,,,,
426,intro,disagree,init-price,counter-price,insist,,,,,,,,
427,intro,init-price,counter-price,agree,,,,,,,,,
428,intro,init-price,counter-price,insist,,,,,,,,,
429,intro,disagree,counter-price,,,,,,,,,,
430,intro,disagree,disagree,agree,,,,,,,,,
431,intro,agree,inquiry,,,,,,,,,,
432,intro,init-price,inquiry,counter-price,,,,,,,,,
433,intro,inquiry,counter-price,,,,,,,,,,
434,intro,init-price,counter-price,,,,,,,,,,
435,intro,disagree,counter-price,,,,,,,,,,
436,intro,disagree,init-price,,,,,,,,,,
437,intro,disagree,counter-price,counter-price,agree,,,,,,,,
438,intro,inquiry,counter-price,,,,,,,,,,
439,intro,disagree,disagree,counter-price,inquiry,,,,,,,,
440,intro,disagree,counter-price,agree,,,,,,,,,
441,intro,counter-price,agree,,,,,,,,,,
442,intro,disagree,counter-price,counter-price,agree,,,,,,,,
443,intro,init-price,inquiry,disagree,,,,,,,,,
444,intro,counter-price,,,,,,,,,,,
445,intro,counter-price,inquiry,,,,,,,,,,
446,intro,disagree,counter-price,counter-price,,,,,,,,,
447,intro,init-price,agree,disagree,agree,,,,,,,,
448,intro,init-price,,,,,,,,,,,
449,init-price,counter-price,counter-price,,,,,,,,,,
450,intro,init-price,counter-price,inquiry,,,,,,,,,
451,intro,disagree,counter-price,,,,,,,,,,
452,intro,disagree,init-price,agree,,,,,,,,,
453,intro,counter-price,,,,,,,,,,,
454,intro,counter-price,,,,,,,,,,,
455,intro,disagree,counter-price,,,,,,,,,,
456,intro,init-price,,,,,,,,,,,
457,intro,disagree,disagree,init-price,,,,,,,,,
458,intro,counter-price,,,,,,,,,,,
459,intro,init-price,counter-price,counter-price,agree,,,,,,,,
460,intro,counter-price,counter-price,counter-price,,,,,,,,,
461,intro,agree,,,,,,,,,,,
462,init-price,counter-price,,,,,,,,,,,
463,intro,init-price,counter-price,,,,,,,,,,
464,intro,disagree,counter-price,insist,insist,,,,,,,,
465,intro,counter-price,,,,,,,,,,,
466,intro,counter-price,agree,,,,,,,,,,
467,intro,init-price,counter-price,counter-price,,,,,,,,,
468,intro,disagree,disagree,counter-price,,,,,,,,,
469,intro,init-price,insist,disagree,disagree,insist,,,,,,,
470,intro,init-price,counter-price,,,,,,,,,,
471,intro,init-price,,,,,,,,,,,
472,intro,disagree,counter-price,,,,,,,,,,
473,intro,disagree,counter-price,counter-price,counter-price,counter-price,,,,,,,
474,intro,counter-price,,,,,,,,,,,
475,init-price,counter-price,counter-price,,,,,,,,,,
476,intro,init-price,counter-price,agree,,,,,,,,,
477,intro,disagree,counter-price,,,,,,,,,,
478,intro,init-price,,,,,,,,,,,
479,intro,init-price,counter-price,,,,,,,,,,
480,intro,init-price,inquiry,agree,,,,,,,,,
481,intro,inquiry,counter-price,,,,,,,,,,
482,init-price,inquiry,agree,,,,,,,,,,
483,init-price,counter-price,counter-price,agree,counter-price,,,,,,,,
484,intro,init-price,counter-price,,,,,,,,,,
485,init-price,counter-price,counter-price,,,,,,,,,,
486,intro,inquiry,inquiry,inquiry,inquiry,,,,,,,,
487,intro,init-price,counter-price,counter-price,disagree,,,,,,,,
488,intro,disagree,init-price,counter-price,,,,,,,,,
489,intro,inquiry,counter-price,,,,,,,,,,
490,intro,,,,,,,,,,,,
491,intro,init-price,counter-price,,,,,,,,,,
492,intro,init-price,counter-price,,,,,,,,,,
493,intro,counter-price,counter-price,disagree,,,,,,,,,
494,intro,init-price,counter-price,,,,,,,,,,
495,intro,inquiry,counter-price,inquiry,inquiry,,,,,,,,
496,intro,counter-price,,,,,,,,,,,
497,intro,inquiry,init-price,counter-price,counter-price,disagree,,,,,,,
498,intro,counter-price,agree,,,,,,,,,,
499,intro,init-price,counter-price,counter-price,,,,,,,,,
500,intro,init-price,,,,,,,,,,,
501,intro,inquiry,init-price,counter-price,,,,,,,,,
502,intro,disagree,init-price,counter-price,insist,,,,,,,,
503,intro,counter-price,,,,,,,,,,,
504,intro,counter-price,counter-price,,,,,,,,,,
505,intro,init-price,counter-price,,,,,,,,,,
506,intro,init-price,counter-price,,,,,,,,,,
507,intro,inquiry,counter-price,,,,,,,,,,
508,intro,init-price,counter-price,counter-price,,,,,,,,,
509,intro,inquiry,counter-price,,,,,,,,,,
510,intro,init-price,counter-price,insist,,,,,,,,,
511,intro,inquiry,disagree,inquiry,init-price,counter-price,agree,agree,,,,,
512,intro,counter-price,counter-price,,,,,,,,,,
513,intro,inquiry,counter-price,,,,,,,,,,
514,intro,disagree,counter-price,,,,,,,,,,
515,intro,disagree,counter-price,inquiry,counter-price,,,,,,,,
516,intro,disagree,counter-price,counter-price,,,,,,,,,
517,intro,init-price,,,,,,,,,,,
518,intro,inquiry,init-price,inquiry,,,,,,,,,
519,intro,counter-price,counter-price,,,,,,,,,,
520,intro,inquiry,vague-price,counter-price,agree,,,,,,,,
521,intro,counter-price,counter-price,counter-price,,,,,,,,,
522,intro,init-price,disagree,counter-price,counter-price,counter-price,,,,,,,
523,intro,disagree,counter-price,counter-price,inquiry,,,,,,,,
524,intro,disagree,counter-price,,,,,,,,,,
525,intro,init-price,counter-price,,,,,,,,,,
526,intro,init-price,counter-price,,,,,,,,,,
527,intro,disagree,disagree,counter-price,counter-price,,,,,,,,
528,intro,counter-price,,,,,,,,,,,
529,intro,counter-price,inquiry,insist,,,,,,,,,
530,intro,inquiry,disagree,init-price,counter-price,,,,,,,,
531,intro,disagree,inquiry,,,,,,,,,,
532,intro,inquiry,counter-price,counter-price,,,,,,,,,
